label,text
3,"President Donald Trump told Israeli Prime Minister Benjamin Netanyahu Wednesday that the US is going to push for a peace deal with the Palestinians and asked Israel ""to hold back"" on settlement construction."
3,President Donald Trump and Israeli Prime Minister Benjamin Netanyahu hold a joint press conference at the White House.
3,"""Tomorrow's world will be different -- and it is very near."" Those were the words of Israeli Prime Minister Benjamin Netanyahu as he dismissed last month's Mideast peace conference in Paris as ""useless,"" instead focusing on the inauguration of US President Donald Trump just days later."
3,"President Donald Trump told Israeli newspaper Israel Hayom, that he is ""not somebody that believes that going forward with ... settlements is a good thing for peace,"" in an interview billed as his first with Israeli media since taking office."
3,President Trump hosts world leaders. Michael Flynn has resigned. There will be high-stakes cabinet votes and more executive actions. We're covering Trump's fourth week in office here.
3,"Israel is at a crossroads: two states or not two states. Of course, the world does not expect a deal to be made tomorrow -- or even soon. But it does want to hear from Israel that there has been no paradigm shift, no retreat to the old dream of a Greater Israel by annexation, and no abandonment of the commitment to Palestinian statehood."
3,"Iowa Rep. Steve King says General Michael Flynn has been subject to ""political assassination."""
3,"High-level advisers close to then-presidential nominee Donald Trump were in constant communication during the campaign with Russians known to US intelligence, multiple current and former intelligence, law enforcement and administration officials tell CNN."
6,"Like parents around the country, Jeanette Vizguerra kissed her kids last night and sent them to bed. But unlike many moms, she may not be there when they get home from school today."
6,White House senior policy adviser Stephen Miller has garnered attention in recent weeks as one of the chief architects behind President Donald Trump's executive order temporarily banning travel from seven Muslim-majority countries.
6,"Andrew Puzder has withdrawn as President Donald Trump's choice for labor secretary, a dramatic decision caused by a GOP revolt that claimed the first Cabinet nominee of the new administration."
6,"Here are all the reasons Andy Puzder, Trump's pick for Labor secretary, is having a no good, very bad time getting confirmed."
6,The ex-wife of Labor Secretary nominee Andy Puzder is privately telling senators that she made a mistake decades ago in leveling domestic abuse charges against him and appearing in disguise on Oprah Winfrey's TV show to talk about her situation.
